author,message
Nherera Karls,Still currently holding but English dololololo
Ibo Thabo,why no video feed? to me video is off now i got it @I Am Free so what? why shall he speak english? this is not england @Norman Zwane THANK YOU "@Molly Dhlamini I am with you 100% and I must warn that no nation ever in history developed by using a borrowed tongue @I Am Free fact of you been minority yet the majority don’t ask to assimilate them as your Trump-le pen are demanding their minorities. Majority here are speaking your tongue is very big privilege. bye @Thando Nkutha Yes agree with you but I have more than enough to do plus most of the time I am out of the country "Guys- girls here: Economically intrinsic minerals (gold & diamonds) create money not the other way around @Nathaniel Perumal Does it looks like smartly western world particularly US-EU are fooling us by giving us a just paper printed to be then call money as the exchange value for our intrinsic??? "@Nathaniel Perumal Since 1971 @Nathaniel Perumal so as we are discussing on the inquiry that some commanders or persons in the military or elsewhere should know their jobs and do it well our ANC-NEC and the Mboweni shall know well
Wildthing,video is on it's not the same guy ha ha your warship should be lordship it's a doc to request help and permission for landing delegates at military airport he is shocked what about 280 or more passengers not going through customs. Things that are not part of this enquiry Type things about this enquiry. otherwise go open your own web site and view your points there. this is about Judge Zonda and State capture Thando dont bring race into it. I place anyone on time out if they go off topic. like thousands of sites for XXX. stop crying and stay on topic.
MCEBISI MBUSI,dom Woow he looks know nothing about his work...what is his academics? anc robberies
lesego gareth,The Setswana interpreter ... quality !
Paul Mufhadi,what tactic is he applying? Can he not express himself in English?
Elijah Ratswele,"Otsheri ke Justice ka sebele "A man embarrassing himself in front of the whole nation He will tell the truth no matter what
Joyful Technologies,volume on this guy PLEASE
Siboleke Mhlana,the guy was testifying in Zulu yesterday but yenye language today🤔... I think this guy understands English and can speak it very well
Kuthula Majola,​He were able to prepare verbal notes but he can't express him self in English
Ashne Hesselberg,Give this guy a chance before criticizing him. We haven’t even heard his evidence yet!!
clive oconnell,All diplomatic languages are in French or English. All visas are in English. His testimony is in English Guptas didn’t need translators just 💰💰 @Norman Zwane Nowhere in this big world 🌍 will I find signs at airports or road signs in Zulu Wasn’t it the White ? Nations that bought down old SA government with sanctions etc ? Communist countries where suppling free guns to African territories
cassim suleman,y not producing note verbale..had enough time to prepare we got bigger than zuma...ace magashule..watc this space
Derek Main,@Molly Dhlamini The ANC is for looters and thieves - no matter what language they speak. @Molly Dhlamini It's been proven over and over again. More of that will come out here at the commission. @Molly Dhlamini I think so - someone who takes what does not belong to them. @Molly Dhlamini All ANC deployees seem to be thieves. That is not to say they are the only thieves but the is looting of public funds by ANC cadres at all levels of government. @Molly Dhlamini Are you saying the ANC cadres have not been stealing public funds? @Molly Dhlamini Please explain what the relationship between capitalist system and state have to do with stealing public funds. @Robert Russell At every possible opportunity. @Molly Dhlamini Sounds like a cop-out to me. @Molly Dhlamini Why don't you answer the question - do you deny that ANC cadres have been stealing public funds? @Molly Dhlamini Still waiting.... @Glorify Gumede Are they protesting the exposure of their criminality? @Glorify Gumede No - I don't know. They may be protesting but I think it's more that they feel better able to answer in their own mother tongue. @Glorify Gumede @KEITH SINDILE DINABANTU That's a serious accusation - you are saying that they are obstructing justice. "@Norman Zwane I think you are correct. As far as I know @Norman Zwane It takes all sorts... @KEITH SINDILE DINABANTU Yes - of course - pure speculation. @Thando Nkutha Never forget that Julius was instrumental in Zuma taking charge. @Thando Nkutha Damage was already done. @Thando Nkutha Julius (like all politicians) is an opportunist. They all say what we want to hear.
Deon February,"People stop nagging about the ""fact"" that the witness can speak English - he is allowed to speak the language of his choice. When YOUR future depend on the facts you share My Note Verbal : This will be a loooooong day for the Judge.
Caroline Hawanga,Me and the blocking button again Who is this witness? Thank you
Nwazs Media,"@Thapelo Motabogi exactly my point it a waste of time
Nelson Musoliwa,The witness leader is seemingly new or intern Pathetic that seasoned officials suddenly got confused with system they are accustomed to. The only problem here was Zuma; Tony said they are his guests mos Mtishi influenced Van Zyl to sign the approval knowing that it is wrong and he took advantage that Zyl was new person at the post Breach of security codes at a national key point is tantamount to treason.
Pedro Daniel Pfaff,So sad.So very sad.The shame I feel is unbareable.Unbareable is the shame i feel
Bongani Ntuli,Robert Russel come on the judge uses english sir in court what is your urgument ?
Magda Seguin,@I Am Free that is fake news Nice to you too @I Am Free
frederick Mashavhela,this guy is interfering to me he understands English very well but soon he will spill the Beans
Michael Michael,he can speak English.usile qha can u hear him now Correct Alam Yose are u waried about the country or with Zulu speaking people?? Yose can u suggest any solution ??? no Yose I am a venda speaking.do u hate zulu speaking people so much ner. give them a break.they are not all that wt ever u call it
KEITH SINDILE DINABANTU,"Oh gosh Jaguar Ftype kind of a roaring voice... I like this young looking evidence leader. But i am missing my favourite Ms September big time "@Thulani Bukani LOL. Yose is firing missiles and bombs at what he/she calls ""Zulus."" I only know black South Africans with their first language being Zulu." @Michael Michael LOL...Yose is worried about Zulu speaking.... i stopped entertaining this months ago @Dominic Przybylski Agreed. @mike molefe Time wasting tactics here lol @funicanz Hi mntase LOL @Yose Human aRE you on Twitter or....Facebook ? "@funicanz Ndiyabona nam "@funicanz Had to first do some minor service early morning Had to rush and work on my career stuff also "@Solomon Koko Same here @Tony stone LOL. Money is has a universal language "@Glorify Gumede These can speak English "@Madelein Huxtable This is just a tactic  "@Derek Main Its more of a protest "@Molly Dhlamini I know @Nyasimi Geoffrey It just finish!! yOU're late!! LOL "@Derek Main nO "@Derek Main You just putting words in my mouth now.... ""obstructing justice""? Never said that. Perhaps @Glorify Gumede True my bro...serious not far from truth. Imagine those guys being subjected to the like of Maleka or Hofmyer legal language and end up messing around. They would be laughed at.lol @Glorify Gumede I would be laughing as well ... i must admit So @Glorify Gumede They were at liberty or it was their constitutional right to make it easy or smooth as possible for them. Clever move i think "@Dominic Przybylski Didnt or haven't read the article yet
Sthakathi Khumalo,"This commission is slowly becoming a circus "I feel for this child leading the evidence "Give the young lions and lionesses a chances to lead evidence
Ndivhuwoo ndivhu,yooooooo😂 No need for interpretor here.... The Guy is speaking English 🤣🤣
Dominic Przybylski,International language of communication should not be a 1st language of any country. It should be done in an international 2nd language like Esperanto. "What is zulu for ""ambassador"" and ""personal assistant""?" I have the privilege of perceiving myself as an individual rather than as a skin colour. I guess that's probably seen as white privilege. "@Yose Human I had hopes for CR but ain't seen nothing yet. How as ""Ramaphosa changed our lives""?" "@makhosi nobhatyi I hope you're right. My problem with CR is he was 2nd in command during the ""wasted 10 years"" but claims to have been ""shocked"" by everything which happened when we all knew." @makhosi nobhatyi He must have been reading some of the same newspapers that I was reading. "@makhosi nobhatyi I'm still hoping "@clive oconnell Nothing is for free. Once in power the liberation movements are obliged to indoctrinate people same as their leaders were indoctrinated by the providers of ""free weapons""." "@Michael Wild ""your highness"" should just about cover any situation." "@makhosi nobhatyi I hear you @makhosi nobhatyi NPA is [hopefully] being repaired but I don't see CR asserting himself in his own party. I suspect that is partly a problem of its philosophy which denies individual leadership. "@Norman Zwane I think it is just for practical reasons We need to understand that in 4th Industrial Revolution technology is the leading edge and most of it is specified in English. There isn't enough time to 'waste' it translating into other languages. The world is moving too fast for that. @Norman Zwane Yes apartheid gave whites privilege with regard to land ownership and that privilege has been inherited by current generation. Should any form of inheritence be allowed? Can inheritence be disallowed retrospectively? What are the limits? "If Zulus conquered other tribes and took their land "@Norman Zwane I'm kind of speaking to myself My father's family home was nationalised by communist government after 2nd World War. Now my own home is being threatened with the same by a new communist government. No. "@watson mutanga Same as people who 'hate' capitalism yet know nothing about it "EFF is the party of luxury - Moet Chandon @Norman Zwane I've been reading about what was found in their garbage at Camps Bay during SONA. @Norman Zwane It defines their lack of integrity.
mike molefe,"Hahahaha
funicanz,Are we still translating? Morning my people. "@Keith Sindile Edinabantu "@Keith Sindile Dinabantu What is the name of this witness? "@Sindiswa Moolman Abatata bayandi irritator cause portfolio zabo ziSenior and yet bafuna utolikelwa. Ngelaxesha bebefumana instructions bebetolikelwa na? @Sofia Sofia : A note verbale is a piece of diplomatic correspondence prepared in the third person and unsigned. I googled. "@Yose Human :yeepee "@Luvuyo Zantsi "@Thando Nkutha "@Thando
mandla motsoeneng,he can speak english 😎🤷 who is this madala i like this madala well spoken
Solomon Koko,I have stopped my support for ANC after the landing of that aircraft. I remember Zuma telling us that only clever ones will question that. That s when I realised that I was following a bloody fool. I have stopped my support for ANC after the landing of that aircraft. I remember Zuma telling us that only clever ones will question that. That s when I realised that I was following a bloody fool.
Sofia Sofia,Writes in English but can't understand ???? Am I understanding this correct ? @Robert Russell THIS IS A JOKE ! "@Norman Zwane - BUT WHY ? When he was being corrupt did he want to do it in his ""Home Language""?" @carnoth ngomane you should get the point ! I see you nearing the racist card there ! not going to happen my friend ! @Robert Russell LOL Word ! @carnoth ngomane you do not get the point ! And its proving pointless trying to explain to you ! @carnoth ngomane - anything you say .... Yes u are right 😃 "@carnoth ngomane if you want my honest opinion I cant understand how these crooks deserve ""Rights""" @Norman Zwane ok you right ! "What is this ""Note verbal ?" @funicanz - Thank you ... "Where there a lot of "" note verbale's ?" So Is Zuma coming on with an interpreter ?? also interpreter? 😁💃 My question was why could these people not land at O.R T ? That's @Anne M. ❤
Tshepo Monakedi,The interpreter is in a mood 😃 This Noteverbal word is making me dizzy...
Yolo More,Mr note verbal
