author,message
hermes mataya,university of UNISA JZ
Margareth Waterboer,"@Lucky Nxumalo
Derek Main,"@Margareth Waterboer ​@Lucky Nxumalo I agree - the sooner we dispense with the race debate Hi Thandeka Morning Hoping for an enlightening day at the commission. Here we go @Carvin Motsumi What didn't Zuma do? Kolwane was the fall guy who was rewarded with ambassadorial role. @Zama Kubheka Ben Martins He was Deputy Minister of Public Enterprises during the rot "@makhosi nobhatyi ""Born again Christian"" means nothing. Zuma is a lay preacher and look at what he did." Sure thing @Thando Nkutha @Mduduzi Thabede Indeed - his attitude towards them facilitated their corruption. Using the tribalism wedge was an apartheid strategy. Magashule's days are numbered @x. .x And look at where he is now "If the plane didn't have the right papers
Thandeka Phakathi,yes Molo Derick lol @yose hey braaaah don't include me @yose his annoying with his tribalism sies
Thulani Bukani,Morning South Africans waterkloof! finally does not recall nogal
Fickson Makhense,Tell us about Waterkloof ? who is this black person? denying guest $ friends of president.
Tembelani Nogaga,morning mzantsi yhoo siyavela izinto apha
Carvin Motsumi,halaaala what did Zuma do ??? this one is scared which state is captured .....heee heee Baba ka Duduzane ....what dd i do Zumas followers ... can you please tell us what is it that Nxamalala did wrong ...cos everything he did was perfect & legal .... Guptas are Zuma s president ..... Gupta s we're running the country .... stop tribalism please Yusuf
LYD online tv,HELLO "Tony Gupta @Kapn Krunch it's annoying! Guests & Friends of the president. @Mduduzi Thabede then it'd be difficult but then it's a difficult job... @Zolani Hoza it's his chance to defend himself... @Mduduzi Thabede I get you brother... LUCKY MONTANA's name again! @goolamv TRUE! @Zolani Hoza the evidence leader not so bad... @x. .x correct.
Mzolisi Kolweni,"I can't remember the name but it was a voice of a black person
Bailey Rae,@Carvin Motsumi he needs to drink some water and take a deep breath... he isn’t on trial 💀 "Block the users and the spam disappears... unfortunately “Projected to be...” I can’t believe what I’m hearing
Kapn Krunch,what's with all the spam Zuma didnt use the guptas the guptas used him come on guys
Gareth Morgan,"zuma says this commision is bias toward him 
Zama Kubheka,hello ppl...who is the criminal in question today? "ag these hackers irritate @Thando Nkutha thanks liar
Mbongo Mbambi,the geust of the president
Deplorable Dee,Tarmac meetings seem to become normal???
Waterbearer,Ben Martins sounding overly defensive
