author,message
Nelson Musoliwa,Gee Zondo got sharp minds but struggle to coordinates words to put matters into a clear and simple perspectives ; it take him long time to do so How did Zuma proved that Nxasana asked to be removed from office? IGee i agree with you that is why i said linguistically; in shied to say to coordinate English words; Hnery you r right Zondo is very careful and got sharp minds all i am saying is he struggle to coordinate English words to clear and simplify matters perspectively. Danie there can be a point till i make it clear and simple for you sharp and fast; not so? Dani i think u got it wrong fact is not about agreement but proven truth.
khethiwe Majozi,"You are right Danie
Masakane Dikgole,RZ is applying his mind very well for him not to be misinterpreted free advert for Adv Nxasana's practise
Henry Mayambu,My view is that justice Zondo is very careful when selecting the words to use as judge understands the meaning of words to some extent different from the ordinarily use of some of these words.
Bongani Tshabalala,"this whole country called South Africa must closed
Feleleng Banda,I think jz bought him (mn) what will happen after all these coz they have already wasted more than 50m if I'm not mistaken...
Anne M.,@Born free He held the position from October 2013 to May 2015 "@Singi Mathebula True "If we had low "@Phillip Cwazibe Traditionally True
Freedom now,Danie Nilsen what a circus
Pheladi Lamola,Very clever Adv Nxasana I agree @Concerned South African
Mark Waner,"when he says ""quite"" important the judge means extremely important."
Kung Fu Kenny,Law does not apply to everyone. Look Zuma's are still free.
Zuko Nodada,I hope he can show the same simpathy to all other people that were used and dumped...like Themba Maseko
funicanz,"@Born free 
Graniet Park,Hello sweetie pie
Anthony Ramasike,when are they resuming lol..mean the time
Frank Gumede,Kubi eSouth Africa bafethu haa!!
Jack Sparrow,@Makwa Choma The gravy train has run out of gravy "Blame the ANC fatty's here!
Jimmi Alli,It means that there is no money That is why Zuma was always giggling
Amanda Watson,@Makwa Choma Which statement?
Jabu Malinga,"witnesses "Makwa Zuma took instructions from the Guptas "The ANC are guilty of doin nothing. But Zuma was the head Ceril is also not soo clean. small nyara skeletons Our kids cannot go to school without fear of being kidnaped there are many business ppl around sa who hav been kidnaped for ransom The anc however have become rotten from top down.municipalities and all departments and soe's r corrupt "Eskom "SABC SASCOC hav cronies eating the athletes supper for decades. everytin to do with government in corrupt "EFF belongs to corrupt Malema. the shack dwellers voted for Malema IFP Buthelezi was ter lik a Mugabe for life. he only left now and they rules kzn previously which was worse than anc DA in cape seem to be doin a better job. most municipalities with clean audits and unemployment in lowest ter "To be a successful politician  "Makwa
Antonie Engelbrecht,"unprepared prosecuter
Lucricia Vorster,this guy is qualified joh
Mbombi,none
KEITH SINDILE DINABANTU,"@Jabu Malinga I was like
