author,message
C S,Granted or not ?
Quintin Jacobs,its seems Parrafin is very powerful @Nkanyezi Vilakati INDEED but @Nkanyezi Vilakati Mr. Joshua Doore has powerful and influential friends wow Zondo gonna say NO Parrafin dodge another bullet hopefully the Public Proctector is scared of Parrafin and his cabal blah blah blah blah Zondo is captured @Amanda Watson so why cant Parrafin not be cross examine Zondo using Nugent what about the KPMG rapport of the Rogue Unit @LonwaboLloyd Miggels never Parrafin is squeeky clean blah blah spinning spinning Its public fact that Parrafin used the Rogue Unit to get dirt on his enemies "Parrafin leaks affidavits and subpoenas to cabal media to get media ""sympathy""" An internal audit report claims to show a R4.3bn loss at @TreasuryRSA while under the stewardship of Parrafin. @Amanda Watson is that fact wow than all the reports @what? im no troll im after justice and im anti corruption so if a person is anti Parrafin then you a troll wow @what? if Tom is guilty of corruption I SAY he must rot in jail with hard labour @Amanda Watson please stop trolling in South Africa a mother steals a loaf of bread and is hastily sentence to 10 years but if a politician or white collar criminal steals its 1st suspension then a commission. higher court then appeals @ofhie Muofhe ppl on the cape flats - coloured lady yada yada yada how long must ZZZZ justify NO cross X @Madelein Huxtable they can cause THEY HAVE MONEY if you have money you ARE ABOVE THE LAW case in point Steinhoff saga my hope is the DA in my province (WC) dont get +50% of the votes and will be FORCE to a coalition @Thando Nkutha Parrafin the pharmacist is the darling of the cabal i say reduce bloated cabinet reduce the salary of parliamentarians to 30K a month give the a car capped at R250K. Then we will see who really is FOR the PEOPLE @Johnny Cash is that a new Netflix movie?? @Fils de l'homme aweh frans @Fils de l'homme how r u in the new Orania @Makwa Choma they have coalitions with the DA in many metros WC gov annouced we have enough water this year wow
Chief Ntuli,"the rules of the commission are clear Moyane must first provide his own version and then apply for leave to cross examine Pravin Whoever wants to cross examine Pravin must first state their version
Musa Bakiti,Chair the ruling is too long "I for one i am not captured  @Madelein Huxtable it's not like picking a man If ANC win again i am leaving South Africa and i will be going to Africa. "@Maanda Manyatshe I am in South Africa where the land belong to whites and i am going to Africa where the land belongs to africans @Fils de l'homme May be Orania @Norman Zwane He will take two weeks Chair😂😂😂 this is also corruption @Johnny Cash Hands Of my leader JG Zuma.We will die for his security Adv Maleka bring Agrizzi back before elections plese. @Bas Mdaka umdaka what is the joke of this commission? @Derek Main the mountains are old not you Derek Derek let us vote for ANC as long as JG Zuma is in that's how you can thank me @Thando Nkutha Ya man
Felix Muyoba,@Musa Bakiti 😂😂
Naledzani Mashau,leave to cross examine mr paraffin gordan is denied Breaking News!The applicant's leave to cross examine Mr Paraffin Gordyn is hereby denied (dismissed) This is not something that surprsed me as we all know that all members in the Zuma cabinet were taited one way or the other and that shows in their futile attempts to redeem themselves The whole cabinet should be dismissed.They r all rotten to the core. This South African government (anc) is a joke.How can we allow a standard 2(grade R) kid lead us
Keatlaretse Phetwe,Zondo is also uncle Tom mos... "black people slamming black elderly leaders idiotic. I know moyane personally and if yall did where did moyane do corruption? "Zondo ZONDO trying hard to read judgement written at stellengbosch... What at SARS Magda? Or are you refering to allegations just like those levelled against Ghodarn? "Magda Black people hating their own... "Finish ZONDO AFRICAN PEOPLE.. ROGUE UNIT... "Form of state capture????Thats Tom's version We'll hear from public protector Watson.. thank you Zwane...
Sindiswa Moolman,Another waste of money by Tom Moyane Agree @funicanz My point @Yvonne Morudu Kuzakushuba @Jacob Zuma... And he and his advocate know that @Eslon Eslon Ask again @ Thembelihle Vukani Moyane is wasting his retirement money on all these petty childish legal matters Agreed @Peet Venter
SONGEZO MNCOKO,"leave the eff alone
Mbuyiseli Mkalipi,Dali must give Monyane his money back
Ozzy Ozzy,we dont REALLY DONT Care how you feel about CIC WE DONT CARE GET TO THE POINT ZONDO """Kick the dog so hard until it owners comes out"" LONG LIVE CIC"
LonwaboLloyd Miggels,PG must be cross examine if he is why he is afraid to be cross examine
Jacob John,I think most people fail 2 distinguish Mpofu as an advocate nd Eff chairperson. Its very premature to try nd link Mpofu's profession nd EFF.I believe he doesn't get any mandate from EFF on this case.
Cerebis,Again gained Huge respect for the DCJ. He is a just man and our Country needs more like him. @makhosi nobhatyi Great comment! Chief Mangosuthu Buthelezi in 1993 gave a speech that stretched over 11 days!! Hope the DCJ is not trying to better that??
Chris Welensky,@funicanz unfortunately that's exactly what McBride did the past few days
Derek Main,@Quintin Jacobs Give us one example. @Maanda Manyatshe Yes but the ANC has made it a s**thole. @Musa Bakiti Careful what you wish for - you might get it. @Thando Nkutha McBride exposed that certain people who were dealing with serious cases were gotten rid of illegally and were bribed to give false testimony. @Thando Nkutha I personally think McBride wanted to use the opportunity to air his grievances but there was some worthwhile testimony. "@Thando Nkutha If you missed yesterday's evidence @For Ever Young I don't see Magda Seguin comments. She is too hysterical so I blocked her. @Thando Nkutha Then I'm not sure how you can assert that McBride's evidence is useless. You didn't see the crux of it. @Thando Nkutha who? what? how? That must have been the part you missed. @Thando Nkutha I simply don't remember the names and details. I'm old - forgive my memory. You could always watch yesterday's evidence if you want to. It's all there. @funicanz Too true - from top to bottom. @Thando Nkutha They were definitely mentioned yesterday. I just can't be bothered to listen to it again - but you can if you want the details. @Thando Nkutha @Musa Bakiti Thanks for the compliments guys - I'm flattered. @Musa Bakiti You're a real joker 🤣 @Sibonakaliso Gumede Unfortunately not much debating happens at parliament - it's a circus. @Thando Nkutha Hey! I'm doing all of those so I must be alright. 😃 @Michael Wild I'd go for chopping off a hand. "@Eslon Eslon The word ""patronage"" is not strong enough for what's happened here - it's outright criminality." @Ndim Mavuks Take a look at how your glorious movement treats anyone with integrity eg. McBride. The ANC is now a cabal of criminals. @Ndim Mavuks His evidence here is laying bare how the ANC cadres treated him. @Thami Ngwenya That we have yet to find out. But there was no protection for him from the ANC either. @Thando Nkutha I agree with that but it's not an either-or.
mbuso sibisi,dali is daily
