author,message
Scyaa Glad's,new year bantu these ANC politicians are wolves no longer wearing a sheep skin to disguise fooling of citizens we just need to come together and take away the power we've relinquished to them can't we come together and stop being led and fooled by these corrupt people let's claim back our country from the wolfs yo mantashe a hypocrite of note and very compromised I voted them once in my first voting back then in 2009 and I've never done again
Grant Titus,missing my pants for this guys family
Singi Mathebula,so we do have black monopoly capital. this goes through the heart . so painful to the poor who are to face the harsh reality of 15% tax increase. SA was a banana republic. blf is full of hungry souls
john john,Where was all this money coming from??? Print room somewhere in the back perhaps !! "Give this man a Bell's Our beautiful country is on the verge of collapse due to all the corruption everywhere. Zim will look like a 'kindergarten' party when SA finally implodes due bankruptcy and no provision of services
mlamuli ntwana,"With all the evidence brought forward the implicated individuals will not be prosecuted "Beukes "Aftr identifying th problem instead of rooting it out we start fighting each other "This is what king Shaka meant when he said we'll never rule these lands again This is heartbreaking @eric laka he must have gotten a deal @Sino Msane don't entertain it "@Robert He has
Ewald Kruger,I was thinking same @Khalid Mather ​19 years of bribes And that is just from THIS company @Khalid Mather That is OUR TAX MONEY!!! Kraaist!!!!! 😀 😀 😀 really now @Toni john ​Viva eff viva Yip! @Khalid Mather ​collectively they allowed and benefitted from corruption...
Tebogo V,"true mlamli we have relinquished all our power as citizens to politicians
Mooks689,Thando Nkutha same here my brother Khalid Mather yeses Roux Beukes its over ill never vote for them. "Bhuga ZA very painfall to see this
athi-enkosi Mavukwana,shuuu!! 19 yearrs!! ayi i give up. ANC shame ayi @Khalid Mather and this was not even a drop in the ocean the 1.3 billion is even an under estimation. @Bhuga ZA is corruption den on its own i am sure billion did not include the groceries.
Neville Marshall,Making jokes and laughing! This is ridiculous behaviour. Stealing from the people of this country! NPA needs to sort these people out! All of them. Vote ANC? Ha ha ha - I love the sarcasm
Pitso Mosetlhe,huuuuuuuuuuuuuuuuuuu mathata a qadile jwale ke eo kotsi ke ao mahlomola ke eka hotla shwa motho. this is too deep revelation man.. cant this videos be in slow motion once and for all hahahahahahahah interception is starting kekopa chelete banna
Mzwandile Kolomba,Yooh ! I can't wait to see the outcome of this commission of inquiry 🙏
makhosi nobhatyi,"Who should we then? I will vote for them Vote ANC At this point Cyril son is not included here at this moment don’t rush Next one more detail more evidence
sakhile mtshali,Finally some real evidence Vote BLF
Banele Teyisi,yes vote anc lol uyampola lotata ngk chicken haybo
Magda Seguin,ANC must fall Yose Human Cyrils son recieved R500k Cyril said the money from Bosasa was a 'donation' for his campaign Cyril changed his story EFF leaders lives in luxury pretending to empathise with the poor Too many 'individuals' ate corrupt They must collectively go to jail Zamo Ngobese they should be above that and stick to the legacy of of ANC stalwarts EFF are populists wanting to make SA another Venezuela EFF only knows destruction...tgeir followers destroy but the leaders are never with them There is no party in SA worth a vote Stuck records? ANC has destroyed the economy through greed All political parties are disconnected from the people...they only appear at voting time The best is to abstain from voting.Nothing will be stolen in my name Zuman enabled foreign thieves to loot the country "Andrew Mounsear Wilson I am talking about myself This witness is in terible danger Sorry for the typos...it is emotional and surreal .I get choked up with this testimony Children dying in pit toilets Marikana families living in poverty "Nozipho Thembeka...this is not a movie No more comments from me Tax payers money!!! @Zembe Mashike ONLY Watson had the keys to the vaults and safes South Africa is a paradise for corruption...even Union involved @Ram Makardood so that the thieves can go on stealing tax payers money?If he didnt come forward we will all be none the wiser and looting will continue.Are you ok with the wholesale theft? He resigned and was called back as a consultant.He left again thereafter. He became ill...had a tumour and he decided to cime clean....read the Daily Maverick article @Elloise Jofriet totally agree
