author,message
Simon Mosiane,interest of you not all of us noo papa zond recommend Zuma to trial zuma need to be trien in court
fuzile dazana,zuma is a chair now nw he can remember is he a president nw
Frik Brits,What is rhe exchange rate now??
Nzukie Sithelo,proceedings withdrawal
samuel molope,keep quite wena zuma "waist of money
Khaya Nomoyi,Zonfo is w
Calvin Candru,but pretorias is too strong to get what he wants he didn't win time it will come the is no ncoba nix lana
Mbongiseni Mabule Mudau,give him water
Vuks,"let us decide that Zuma "Mr Zondo you seem to be the only one who is sincere there
njabulo mlaba,KHULUMA NDODE NKULU BATSHELE USEKWA YITHI KWAZULU SIKHATHELE AMANKENGANE ONDLEBE ZIKHANYA ILANGA 😉😂😂😂😂💪💪
Frank Peter,I forgot thankyou vrry much lol they captured nothing
kagiso mathole,he is so casual.......walk in a park.......
Lusanda Sangoni,This Thief belongs to jail isela legxego
Mandla Martin Nkosi,i salute Mr Zuma legal representatives they fully know the laws peoples can talk negative because they hate this old man
Lufuno Mashotha,phathani it is because he is not telling the truth "stupid man is laughing
Nobby's Photography,🤕🤕🤒🤒🤒🤒🤒🤒🤒 what a joke
mbali mpofu,uzuma uyoke aqede ukukhotha umlomo
Moleti Moseki,Pretorius is not going anywhere
funicanz,Ndisabukele umgcwabo. Kuthwani apha. Really?
BlueTwip TV,mmmhhh
Lindelani Ngcobo,breaking news our army has no money who is investigating that now?
Michael Michael,Mr Zondo just cool.
TurtleShell 8024,Tebogo V I'm beginning to question Judge Zondo's fitness to chair this commission. He's become pliable to the defence Counsel. Zuma : Thank you very much! This Commission has been discredited! Prospective witnesses can now use the same excuse as the former president and wrap Zondo around their little finger the same way former president Zuma did!!!
Sebation Nantsika,@makhosi let me send you at clue if you interested @makhosi Luthuli is bad as we speak
Mafhelelo Nkhwamulanzi,special treatment is not allowed
P T,The Teflon Don Msholozi my guy kk
Ryan Molyneux,he looks like ET that has gonorrhea
Sisa Qomoyi,some pple here are fullish sit down and listen
Victor Chabalala,i jst wish that the applauding supporters know precisely where the enquiry is going. will the applause be sustained at all??????Watch the space!
kennedy moyo,🤔🤔
Mndeni Masango,Jay Z ke bosso
Rethabile Moabi,Zuma must be tried in a high court nje #FINISHED!!!!! Monday is Estina...another Zuma issue!!!
