author,message
Danie Vorster,joking time is gone longtime ago i can go to the circus
Hein de Wit,Body language says this guy is lying his ears off
constantin buzdugan,it's all a parody of truth..... they cover each other nobody will go to jail lost time and money parody of truth.... zondo is protecting him these characters are paid millions tax money.... actually it's very sad really??? it's a tactic to get him clear no shame useless to watch further "talk  "carefully  "it's useless sad...
farouq,@ Hein de Wit ha ha ha. yep you got that right
Gift Mazibuko,trying to get Nhleko to tell the truth is like trying to draw blood from a stone
DMF,"DCJ is very strategic
Sabata Kambule,Principles of ANC compromised the organization. This things could have been avoided should they interrogate their political appointments and the manner in which decisions were made.
Malcolm Fredericks,"they all belong to one organisation  "what a comedy
Syug,Zondo is not a cadre. He is only doing his job albeit lethargically
Freddy Mhembere,"Africa guys
Bophelo Malapela,The nonsense on this platform questioning the integrity of DCJ Zondo because people do not understand legal processes is shocking This is a commission not a court @Gabisile Mahlangu how would you expect DCJ Zondo to behave next he will be accused of not being fit to be a judge as did Lucky Montana @kerry van Schalkwyk you have your own perceptions of how DCJ Zondo should conduct himself care to share @kerry van schalkwyk define assertive @kerry van schalkwyk from your meltdown I get the distinct impression you have no clue why nhleko is before the commission It’s nhlehos own problem is he refuses to answer questions as that might comeback to haunt him Nhleko is here responding to allegations made by McBride against him he does not have to give answers we like Let’s watch and learn. The fire pool has no relevance here "McBride came to the commission and alleged that this issue of reports and werksmans attorneys was State capture Dramat and Sibiya lost their jobs because of this renditions nonsense. Sibiya last week won his case in labour court & wants his job back McBride was accused of doctoring the second report he also must answer "I am aware Unlawful operations of allowing Zimbabwe police to kidnap Zimbabweans & take them to Zimbabwe where they were killed @venecia Moore he had to sing for his supper "@monique’s makeup it does not matter their status in SA @pienaar van Wyk do tell Ok Washing of hands is a respectable way of asking to go to the toilet NP were serious criminals who committed crimes against humanity let’s not even start that discussion @cerebris ANC looting will never come close to the crime committed by NP and their supporters so let’s not have that debate We can lament the thuggery of the ANC without comparing to what we as blacks sufferedunder apartheid @cerebris death for blacks is not a new post democracy event You studied under Bantu education @pienaar van wyk. @mike Durban don’t be stupid @kerry van schalkwyk did you see me say otherwise Been to Soweto as part of the SADF @mpotseng lebentlele Soweto post democracy is not the same under apartheid he may just enjoy it @bruce Thackwell if that is true then EWC should not be a problem @pienaar van wyk how many squatter camps did you know in 92 Racists @mpotseng lebentlele can never hide no matter what they do or even if they have black friends "@pienaar van wyk apartheid and what it has done will never be wished away. The looting of the comrades will also never be wished away @mike Durban I am not your bra Lifestyle audits are amyth @mpotseng lebentlele there is a reason why racists always hide their identity Racist apologists need tranquilizer I will vote ANC everyday Soweto today is much better than the concentration camp it was under apartheid @kerry van schalkwyk then you proceeded to say many racist things "@kerry van schalkwyk I do not seem to be intelligent @mangalani mangalani you are lying @postmaster racists are not progress nor civilization they are the lowest form of trash @mangalani mangalani your evidence of this regression is a train ride. You need to get a car Prasa infrastructure has been stolen and we know the reasons for that @kevin until you or a loved one dies of this virus @craig Johnson when the victims of this crime say so until then deal with it @mangalani mangalani who is the we you talk of @mangalani mangalani EFF and other formations? Apartheid and colonialism lasted over 400 yrs. ANC has also messed up in the 26 yrs never treat apartheid as an event @cedric John Ramaphosa signed a proclamation that seeks to achieve that hopefully people will start going to jail @val spiers do not be stupid "@craig Johnson in the same way we will never forget and forgive apartheid Apartheid will never in repeat never be forgotten it’s inconvenient to its beneficiaries and apologists Singapore did not have apartheid @mike du Preez Bophelo is my name Bopis ke mmao We had colonialism and apartheid @kerry van schalkwyk The judge is required to have this type of temperament otherwise there will be issues of bias and fairness @gert pretorius that’s their choice We adjourn
DTM O,this is just an excuse to waste public money
Mpotseng Lebentlele,RESPECT ZONDO........he is on top of his game @Kerry van Schalkwyk I hear you and trust me he is about to corner him i believe akore ke nulle ka sesotho sa heso lenna hobane le yona ke puo @Kerry van Schalkwyk it wasn't necessary to patronise @Bophelo Malapela like that. Le ya tena wa tseba @Kerry van Schalkwyk i agree hence its ok to put your argument across and still be respectful. Yiya eAustralia kaloku xa une problem eMzansi @Kerry unento To Themba Sicela item nathi kaloku Sicela i tea nathi kaloku okanye silinde nje? @LUTHO MTANDEKI lixesha le tea....baya buy after imizuzo elishumi Thats a thorny subject our grandparents suffered under the NP even before we were born...yimani please ngabo "Ayipheli na le break ngoku @Pienaar van Wyk elaborate on black infrastructure. @Pienaar van Wyk So why don't you move to Soweto if you feel it has better resources..... @Pienaar van Wyk When are you spending a week in Soweto to substantiate you argument about it having better resources than your leafy surburb? "@Pienaar van Wyk Im not talking about you being a tourist bus Then keep the privileged talk about it being resourced......PLEASE STOP IT @Pienaar van Wyk GO STAY IN SOWETO and come back here and talk about it being better resourced. @Kerry van Schalkwyk thula if you have nothing to say.... @Pienaar van Wyk you pretend to have Sowetos best interest at heart and drop it coz you couldn't be bothered @MIKE DURBAN nguwe kuqala ibra......@Kerry van Schalkwyk kumnandi ePrivilegeVILLE right... @Hubert Maphumulo ngiyakuzwa and ngiyavumelelana nawe.... @Kerry van Schalkwyk I was only dishing the truth....hope you enjoyed that snack. @Hubert Maphumulo yazi mina angikwazi ukuthula mabe delela... FINALLY OUR LANGUAGES ARE RESPECTED......thans google @Kerry van Schalkwyk how is it a race card if one says SOWETO is better resource? You know that's not a fact @R Hunter bring it on @Kerry van Schalkwyk how have you contributed to equality in your work environment? @postmaster YOUR PEOPLE.......really? @Bophelo Malapela BAFE..... @Craig Johnson I would eat my hat if anyone admits @Kerry van Schalkwyk I have a lot to you but maybe on a day when you are not looking for an audience and an applause like today..... @Kerry van Schalkwyk uplift the same people you are insulting? Who are you kidding? @Kerry van Schalkwyk You never answered how you have changed and made the environment better for everyone at work......since you are all for upliftment of everyone @gert pretorius such maturity......i appreciate you. Yhoo Mr Harleys calm is so refreshing.... Hayi u @gert pretorius is level headed QHA KE. I SAID IT......@gert pretorius ........a fair human We have a long way to go..... @Kerry van Schalkwyk BYE MY Friend see you tommorrow.......ahhaha
Siseko Yeki,this process is not just to punish but to save a state from capture... it should be done accurately to a microscopic levels. This process is even better than that of the court of law "@Mandy Phillips but all what he says will then be used against him in the court of law... No matter how long is his answer
albert 2100,lock them away they still the money and try to reconciling. ww want economic freedom . lock these people awy
Gray Lawrence,am I the only one that thinks this guy is an idiot? yes. impersonating a minister 2 days with this guy.. what's the point another day of this . ouch
Mandy Phillips,@Siseko ... that's exactly why he is giving long winded strange responses
litwayi,watching from Namibia
Steven Haihambo,:virtualhug:
Michael Holmes,he must just say he doesn't like to read
PETER STAFFEN,MC bride is going to eat him
makhosi nobhatyi,Mr just jumped into the pool coz his master was about to fall "@Bophelo Malapela McBride won all those allegations "@ Bophelo Malaphela you stated very well "@ Bophelo Malapela McBride will come as he promised but minister must tell truth coz they traumatizes people as we see poor evidence to all cases it’s because of this action by minister
Monique Jones,I'm confused. Is this an inquiry or a court proceeding? Has Nhleko been charged with a crime? Humor me please? @Hubert Maphumulo that's called murder. "Does he realize the diff between the truth and his version of the ""truth""" Isn't it winter down there? DCJ fresh shaved That gas bubble from Nhleko was a lie coming up Hey @Hubert Maphumulo we have Trump here. Absolutely no leadership and no morality So what were the renditions that this learned gentleman is speaking of "@Sal Abdulla were they ""illegal"" immigrants if I can use that term on the run?" @Bophelo Malapela true @Mike Mike @Kerry van Schalkwyk who would you replace them with? Thanks @Kerry van Schalkwyk Well it's 8:38 am and time to get my Shut Down Day started so I can get back home. Y'all have a great rest of your day! Bye from Texas!
