author,message
Heather Jooste,stopped watching tv shows this is much more entertaining
Clifford Ratiba,@Naledi. Thanx
Gabenza,Naledi is kicking butts and taking names with respect
Val Speirs,"The Democrats are the worst thing that happened to America He is stuttering which means he is nervous @ Aubrey..thankyou I agree totally. TRUMP VICTORY 2️⃣0️⃣2️⃣0️⃣➖2️⃣0️⃣2️⃣4️⃣ "Biden  Trump has paid millions in taxes over many years like I said the Demonicrats created the loopholes which no doubt they themselves have used. stuttering He is looking guilty The heat is on Agrizzi could be incontinent. Bail is still being argued
Joan Lombard,Very complicated to understand the morals of some people ... Have done so @Pastor J.J @Naledi Barron . xx Thanks @SanFran Arnold No baiel @vhutshilo mugudu bail ...@vhutshilo mugudu Shrugs ... recalled this morning... I don't know. Oh no @Naledi Barron NO laughing matter! "We never know Siyabulela Mapoma @Zolile Dola What does he know? "Answered by others Reinstatement on steroids! 🙂 Instructions from ... the president. You did @Tay Assumption? True @Tito 2000 Higher than the minister ... Weell done Advocate Myburgh.
wim louw,"@SanFran Arnold Bee "@Paul Buchel Every time he packed a parcel for Mama action. he packed one for himself! He stole himself BLIND @Rox All an act by the self confessed racist!!! @Naledi Barron Salud!🥂🥂🥂 "@Mr K Lakhan ʕ•ᴥ•ʔ Bought Discovery shares this morning "I never draw Apartheid era comparisons "Most concerning for me is that these people had no Conscience! They were like LOCUSTS
Pastor J.J,@wim louw 100% correct. I was amazed by our precise he was in transferring over R30 million out of the coutry since he was implicated including buying a house in Italy. and then the lost passport? @Mr K Lakhan ʕ•ᴥ•ʔ You may not be Goat but your behaviour in the last 5 minutes indicates otherwise.Now please be peaceful Sir
Aubrey De Bliquy,"If you want to lock up criminals start with Bush "Money can't buy you happiness but it can buy you weed which isn't a bad second place A naive notion of labour law. If you had the vaguest notion of natural law a child can understand the concept.
Happy Modise,mr zondo zumas friend must not tell u
Person of interest,When @Naledi joined this chat over on enca I knew this was going to be Added Value and I was right "Ya This adv going in for the kill with witness now From where I am sitting Chair.... In hindsight.... "@Jabu 😁 as I reflect now Chair @Simmy @Naledi this adv nice and quick. Imagine your boss telling you to commit crime and you need your paycheck. Predators at the top. "Yep 🔥 🔥 🔥 🔥 🔥 As I'm sitting ere now. oh Lord They going to start laughing again "@Diana sad zopinions floating around.... I caught the one that paid me the most Chair
Absolom 'ABSA' Nhorito,let's address eachother as brothers and sisters not you people
Paul Buchel,"@wim louw​ @wim louw True Wim "I'm loving this "@Sanjay Maharaj​ "Anyway No. 36 for Zuma's name coming up?? "@wim louw
Rox,This dude is starting to be arrogant now That voice is diminishing Evidence leader making inroads now.... This witness can't handle to be questioned by his peer... skin him DCJ He got fat paycheck for being incompetent and negligent Page 21...let's go This fellow witness is becoming angry The mic is struggling to capture him🤣 "Probability of "" May""" I like this Adv I withdraw calling him a plumber indeed @Naledi I don't want to be called by this commission even if it to say hello to DCJ The voice is disowning him now "The we go @Mbuso hahaha phuma lapho Hahahah @Simmy Pge 827 Adv is now preparing a braai Yes @Yolo that's what I am here for "if people were telling the truth True that @Simmy "I no longer hear him I saw a pipe coming out of Agrizzi's trousers is he sick? @Sanjay his lawyer says he is not well "if he is that sick Thanks @Diana Let me go back to the commission I like this Adv Maglassana @Sekgome he is an oil heater Myburgh my bag.. go deep Papa Zondo likes well prepared evidence leaders Mr Notshe needs to tighten screws hahah @Lethabo corruption consume your education away "Hahah the view is not a mist RAF lawyers must make a turn here as well The queen has fallen he is still play chess after that Handcuffs please!!! "He is angry "Adv Myburgh is cruel is he mumbling ?? hahah @Fuzile is now seeing This one was inspired by Eddi Zondi @Zolile its Mpoma "When professionals joined the public sector they automatically become politicians by default Imagine if you were this guy's junior at Transnet... u wouldn't even be allowed to ask questions AFU took Gama's Luxury cars hahaha @Eddie it makes sense @Yolo Did I hear Zuma there Zuma will say he doesn't know Mr Gama That's it !! @Enoch Zuma and Guptas wanted the country to come and borrow money from them "When is Judge Makubela coming  "Mr Myburgh was just waiting for the name Zuma into the records Nkandla!! Nkaaaandla! 🙄 hololo🤣🤣🤣🤣 Indeed at @Jenny They are now gossiping as lawyers does 🤣🤣🤣🤣🤣
Herb Tuck,Trump loose election he goes to jail $750 tax he payed criminal Biden 2020 Val you must watch out for trump he will grab you by your private parts $750 disgrace Even Zuma got more brains than trump
Jenny Whitewaves,@SanFran Arnold I think you can count paying R650 in taxes stealing Sorry dollars No 36 @Yolo More will we get the half century before Nov 10? @Yolo More sorry if I missed your comment but I have been on and off the chat as I had to plan supper @Lennox Rashopola I think it is a online course from Lethuli House Quick sharp and on time I like this Adv @Rox he's not a prof for nothing Know what you want the witness to say then bye time for tea
Bradley Petersen,he looks a bit like Julius without his glasses
