author,message
FieliesSA,Oath of affirmation. Like the pinky promise of kinder garden 😀 @Mbuso Ndlovu First clarify what is wemen 😛 Woohoo this guy is openinga can of worms They were smart. They new something was brewing and they knew they had to protect themself... knew
Bongumenzi Nxumalo,DCJ Zondo looks serious today!! "But DCJ Zondo is not patient with the ladies!! Uvele angene nje
Angelo Doubel,GM @ Valencia J @ Paul Buchel😂😂😂 @Devon Lewis 🤣🤣🤣 @Singi Matebula for sure prof. Thuli must keep quiet. the public servants 4 steeling public money. @ Anne M it's must be Melrose ark🤣🤣🤣
Pardon Tshepo,yes I mic adv Sileka:goodvibes::goodvibes::goodvibes:
Buti Sipho,🤣🤣🤣🤣
Ntuthuko Nene,African National Corruption: Lets vote these thieves and liars out.
Zinhle Big Daddy Dee,"Morning Valencia Everyone there is a question i asked yesterday. No body answered me. Please answer me today please!!! Im begging all of u ARE WE STILL VOTING FOR THE ANC?? Can we please all answer Theo Van Zyl don't worry we will help u and vote EFF. Eff is the only party actually working!!! The rest are sleeping I don't like EFF but they are the only ones who are putting the work more than anyone else "Cassim suleman Mzawlane Fire!!!!! "Valencia J Valencia J don't even go there because black people arw the only ones in real poverty!!! And when i say poverty i mean it. Black people get all the attention because the other colours have it better "Valencia you're confusing things and blowing hot air when we all know that most of thise farmers are racist and tell thier black employers hold thier own signs "" Boer's lives matter""" "Pastor J  "Valencia J obviously doesn't stay in SA  "Yes Mzwalane Mzalwane Mzala . I'm not an EFF man but thank u for your support im seriously thinking of coming to the working team!!! The Fire Brigade!!! EFF Pastor please speak to her in fact we can pray for her right now!/ "Valencia J "Mfanafuthi Gama Mzalwane Mzala FIRE!!! Valencia J. Yes we flock together MR Gama if DA was running this country thier true colours would show and people would go to thier abusive ways!! In fact white people would be in fear This advocate is too relaxed shes got a sweet voice and not in contol. Bring on KATE HOFMEYER "Pastor J Mr Gama is the work he ethic no jealous here. When u talk in the commission u must use the EFF power and be a Fire talker so u. an highlight your questions "Pastor J Andre yes we love those people those are our brothers and sisters Louis C lol ure right maybe i should but come with me so we can check him properly Mzalwane Mzala. Fire!!! my brother "Fredy Pummer Rato Madise Fire!!! We see u my sister!!!! Fire!!! Fredy Pummer . How can u ask the owner of the land what he will do withit?? loll. DO we black people ask Germany or England what they will do with their land?? What an arrogance!!/ If u don't know what EFF is fighting for then u must be the people Juju is talking about AAAAAAAH SO QUICK?? Tea already? This advocate is boring shem that was easy "@elton van neel. FIRE!!!! EFF wants you too come to the place where the work is been done. JUJU brought Zuma down  Val Speirs ure right he did and then he removed him when he was corrupt @ Elton van neel FIRE !!! I see u The reason why people loving watch politics is all because of the Juju and the EFF. The real fighters of this country Nandos is not my thing too exppen Annie Van Niekerk what do u eat?? "@ Annie Van Niekerk  @ Mduduzi Thabede ure right she's too scared this needs a very in your face person like Kate Hofmeyer "@ A Sorry guys Tea became brunch im back This Advocate is in a rush!! So quick lets move on! Haai ngeke where is Kate Hofmeyer @Singi Mathebula . Juju is the future i know u don't like it but secretly some ANC members like me applaud him because he does the work while ANC eats money @ Lona Devu . Fire!!!! i see u @ Brain Hayes then we are all mad because Juju is doing the work on TV now he is the most popular thing we hear and see because he is speaking of real matters @ Annie Van Niekerk don't ignore me lol i see u @ BanditZA. We are ANC the problem is Juju is the only party addressing peoples issues. Fire!!! i see u @ Annie Van Niekerk lol leave juju aside. U and me can sit at ant table any time. Just the two of us we can make if we try just the two of us @ Mathew Van Wyk relax don't be jealous this is what we been talking about . You've just arrived When is the mighty Juju coming to see Zondo?? @ Mugudu who are they arresting? @ Val Speirs Yes he is @ Allan today we have a weak Advocate it won't be that easy if Kate Hofmeyer is around "This lady Seagulls is not fierce!! She's too chilled  @ Hirsitus we already spoken about that @ Paul Buchel i know but she quickly wants to move on. She doesn't clarify important issues she just asks then moves on. The Chair Zondo needs to stop her and clarify to confirm Pastor JJ is back lol . Welcome baack "Pastor J Viva EFF Viva long live Juju long live
vhutshilo mugudu,morning guys lovely voice chair dis witness his going spin the bin of 25 billion advocate maleka is waiting for big fish ace on Thursday hawarks are going to make arrest on ppe corruption saga u mean advocate she is weak Bester tell them everything bester u are doing well bester is south Africa citizen?
Akhonamandla Gala,"i hope chair won't complain about filing and numbering morning Samuel:elbowbump: @greatnation69 Haibo lol how can you say that about Jakobus chair is crushing on SeeGulls @Some guy 😂 @Andy 😂😂😂😂 @Blake Yogi 😂 Jakobus who is No1😂 i won't mind if Advocate Afro can be my No 1 Number 2 is Dudu Myeni @Andy 😂 don't be selfish chief one of the reasons why EFF will remain a minority party is because South Africa will never be a communist country never @Sinethemba haibo uyamtyhola uJakobus bra 😂 @Cooler Cat she's shy but i will whatsapp her tea break Numero uno😎 Morning Khanyi 🤗 i see few Andile Mngxithama followers here 😂😂😂why are people so grumpy and attacking each other today?? yhoo it's rough Kleopatra Shisheya😂 @N. Mulenga indeed they are sometimes even commenting here on Live chat @a b c 😅thought as much "@a b c they are interested in these proceedings surely they follow them say it in Afrikaans Jakobus ou boet Adv Afro is building up her confidence "eish this Arnold Sing chap suppose to be in jail now @Walter Zikalala true @simon proud another breaking news? 😂😂😂Jakobus can't read names
Samuel Skosana,Let me greet you all again. Greetings All What is the evidence leader's name?? Greetings Ntsikelelo Just call her Sea-Gull Apologies Blake. No harm intended
