author,message
Isaac Tau,"This was an eye opener
Precious Ntshangase,We are back Volume is too low@SABC Digital News @dESMOND...U ARE NOT USING EARPHONES ARE U ?😃😃. i can hardly hear him @eskimo...i have her number 😃😃😁 @Desmnd. Cool There is double voice... Oh yes..Viva Babes Agizzi Viva Now i will bored without Agrizzi 😓😓😓 Dankie man
SBH Shembe,We are back indeed safe as any rat can be Watson Crime Family If you are still stuck on the race issue then you have no idea what this universe is about .. "People are busy pointing fingers at Agrizzi
Pitso Mosetlhe,so Next on the stand is Trevor Manuel I hear... Trevor Manuel is next after Agrizzi NEXT WITNESS???????
Thali Favourite,is he safe? "how many pages are there  shame he is so cute and innocent lool😧
Karabo Qokolo,this pretorius now is trying harder than required
LalaLee Melz,agrizzi🤣🤣😂 he'll go bck to Italy with his whole fam... most def I would... he's aware he is not safe.. nthabi many will now come forward Malcom... in local municipalities even s ntapane amongst themselves.. tribalists of note
Mooks689,Viewing yes I rather pay lease to my government viva EFF viva Viewing is acting tough he is scared so death Viewing google Dr Mark Dean a black computer engineer who invented ISA bus. He holds three of nine PC patents for being the co-creator of the IBM personal computer released in 1981 howzitcal so this stupid called Viewing is using our technology Viewing 😀😀😀 the land issue doesn't sit well with u I can see but watch the space
nepo .molefe,guys who is the lady on the right to Pretorious Yoh she's fire man fire 🔥 🔥 🔥 🔥 🔥 @precious this girl is fire I can't concentrate anymore "guys let's talk about this lady @njabulo brah like who is she and she's not wearing a ring 💍 survival of the fittest there she is 🔥❤️ Yoh Yoh guys am I the only one dying here this woman is damaging me virtually guys the jackpot for the lotto is R170 million today leave the land play lotto ayi people on YouTube take each other too seriously AkA is getting roasted soon do you think he'll tell us the secrets of Bonangs weave?? @Vicky can I order 😂😂😂😂😂😂 @chris 😂😂😂 just banter buddy don't stress corruption only knows a bank account can it please be my bank account 😂 "this guy was gonna get 5 million a year too keep quiet @Abongile Eve the one who ate the apple is the cause of all this nonsense 😂 "but he knows it so it's fine I would also be corrupt and am likely to be corrupt but I would steal 1 House and give back 9 "steal 1 House give back 9 "Im a consultant also the lawyer on the right is so beautiful wow fire 🔥 🔥 Nthabiseng lol some things are just meant to be admired leave it there just look at it I need an ewallet from Agri
Dumisani Snr Mlotshwa,Well done Pretorious
Oshimana Trading,How safe is Aggrizi from those anc thugs? @viewing u are racist like Agrizzi @viewing ... this is Chinese superiority @viewing I ll block you from this dialogue
Nodz Heunis,lol eskimo Nthabiseng.. for sure!! @ Njabobulo lol no idea @ eskimo i see... Where is Watson? run boeta run! @ Abongile hes runing im sure Rashid thats true LOL Mokheleli hes smooth. @ Tumelo i agree Anne M.😉 @ David Cele im sure he does not have a wife @ Bafana he knows EVERYTHING! @Tebaza al;l of them should be arrested
